Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
F1,22/09/04,Caen,Strasbourg,0,0,D,0,0,D,1.83,3.1,4.0,1.9,3.15,3.7,1.85,3.1,4.05,1.85,3.0,3.8,1.91,3.0,3.75,1.85,3.0,4.2,1.8,3.0,4.2,2.1,1.6,1.85,1.76,-0.5,,,,,,,,,,,,,,,,1683.87,1613.94
F1,22/09/04,Istres,Ajaccio,0,1,A,0,1,A,2.1,3.0,3.25,2.1,3.1,3.2,2.15,3.0,3.2,2.2,2.8,3.1,2.2,3.0,3.0,2.1,3.0,3.25,2.05,2.9,3.4,2.2,1.55,1.9,1.9,-0.25,,,,,,,,,,,,,,,,1585.3,1587.47
F1,22/09/04,Lens,Paris SG,2,2,D,0,1,A,2.25,3.0,3.0,2.3,3.0,2.9,2.2,3.0,3.1,2.0,3.1,3.2,2.0,3.0,3.4,2.25,3.0,3.0,2.15,3.0,3.1,2.1,1.6,1.9,1.9,-0.25,,,,,,,,,,,,,,,,1709.28,1765.18
F1,22/09/04,Metz,Nice,1,1,D,0,0,D,1.72,3.25,4.33,1.75,3.25,4.25,1.85,3.2,3.9,1.9,2.9,3.8,1.83,3.0,4.0,1.73,3.2,4.5,1.72,3.1,4.5,2.1,1.6,1.85,1.76,-0.5,,,,,,,,,,,,,,,,1679.8,1660.06
F1,22/09/04,Monaco,Nantes,2,1,H,0,1,A,1.57,3.4,5.5,1.55,3.5,5.45,1.6,3.3,5.5,1.6,3.3,4.8,1.57,3.25,5.5,1.53,3.4,6.0,1.57,3.3,5.5,2.1,1.6,1.75,2.1,-0.75,,,,,,,,,,,,,,,,1822.93,1716.24
F1,22/09/04,Rennes,Marseille,1,0,H,0,0,D,2.4,3.1,2.62,2.45,3.05,2.65,2.4,3.0,2.75,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.0,2.75,2.37,3.0,2.7,1.95,1.71,1.75,2.1,0.0,,,,,,,,,,,,,,,,1699.62,1702.79
F1,22/09/04,Sochaux,Lille,0,2,A,0,0,D,1.8,3.2,4.0,1.85,3.25,3.75,1.8,3.2,4.15,1.8,3.0,4.0,1.8,3.2,4.0,1.8,3.1,4.2,1.8,3.1,4.0,2.2,1.55,1.8,1.81,-0.5,,,,,,,,,,,,,,,,1729.27,1693.59
F1,22/09/04,St Etienne,Auxerre,3,1,H,3,0,H,2.5,3.0,2.62,2.55,2.9,2.65,2.55,3.0,2.6,2.6,2.8,2.6,2.75,3.0,2.38,2.62,3.0,2.5,2.5,2.9,2.62,2.0,1.65,1.85,1.95,0.0,,,,,,,,,,,,,,,,1648.21,1779.92
F1,25/09/04,Ajaccio,Caen,2,2,D,1,1,D,2.2,3.0,3.1,2.1,3.1,3.2,2.2,3.0,3.1,2.1,2.9,3.2,2.1,3.0,3.2,2.2,3.0,3.1,2.1,3.0,3.2,2.45,1.45,1.8,2.0,-0.25,1.88,1.96,-0.25,,,,,,,,,,,,,1603.4,1678.2
F1,25/09/04,Auxerre,Istres,0,0,D,0,0,D,1.44,3.75,6.5,1.35,4.0,8.25,1.45,3.75,6.5,1.45,3.6,5.8,1.4,3.6,7.5,1.44,3.6,7.0,1.44,3.5,7.0,2.0,1.65,1.8,2.0,-1.0,1.82,2.02,-1.0,,,,,,,,,,,,,1766.28,1569.37
