Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC1,28/12/02,St Mirren,Inverness C,1.0,4.0,A,0.0,3.0,A,2.8,3.4,2.1,2.8,3.5,2.1,2.7,3.3,2.0,2.75,3.5,2.1,2.8,3.4,2.1,2.87,3.6,2.0,1370.46,1493.37
SC1,01/01/03,Arbroath,St Johnstone,2.0,3.0,A,1.0,0.0,H,3.5,3.5,1.8,3.6,3.5,1.86,3.3,3.2,1.8,3.2,3.5,1.91,3.3,3.5,1.85,3.4,3.6,1.8,1300.49,1394.7
SC1,01/01/03,Clyde,St Mirren,3.0,2.0,H,2.0,1.0,H,1.667,3.6,4.0,1.63,3.75,4.65,1.6,3.4,3.9,1.57,3.75,4.5,1.615,3.6,4.333,1.61,3.75,4.2,1451.23,1358.78
SC1,01/01/03,Queen of Sth,Ayr,1.0,1.0,D,0.0,0.0,D,2.375,3.4,2.375,2.36,3.5,2.56,2.25,3.1,2.4,2.1,3.5,2.75,2.3,3.4,2.5,2.37,3.3,2.5,1379.43,1425.36
SC1,11/01/03,St Johnstone,Ross County,2.0,0.0,H,1.0,0.0,H,1.615,3.6,4.333,1.68,3.4,4.2,1.7,3.3,3.6,1.62,3.5,4.5,1.667,3.4,4.333,1.72,3.5,3.8,1407.41,1386.29
SC1,18/01/03,Alloa,Queen of Sth,3.0,3.0,D,2.0,2.0,D,3.0,3.4,2.0,2.85,3.45,2.05,2.75,3.2,2.0,3.4,3.5,1.83,2.75,3.5,2.1,2.8,3.4,2.1,1280.72,1377.5
SC1,18/01/03,Arbroath,Falkirk,1.0,4.0,A,0.0,3.0,A,4.333,3.6,1.615,4.5,3.55,1.6,4.0,3.3,1.6,4.0,3.6,1.67,4.5,3.6,1.6,4.5,3.75,1.57,1287.78,1470.46
SC1,18/01/03,Inverness C,Ayr,0.0,1.0,A,0.0,1.0,A,1.571,3.75,4.5,1.55,3.65,4.75,1.5,3.6,4.4,1.53,3.75,5.0,1.533,3.6,5.0,1.53,4.0,4.5,1505.05,1427.29
SC1,18/01/03,St Johnstone,Clyde,1.0,2.0,A,1.0,1.0,D,1.909,3.5,3.2,1.92,3.4,3.2,1.9,3.2,2.9,1.91,3.5,3.2,2.0,3.4,3.0,1.9,3.5,3.2,1415.72,1457.44
SC1,18/01/03,St Mirren,Ross County,1.0,0.0,H,0.0,0.0,D,2.25,3.5,2.5,2.2,3.4,2.65,2.1,3.1,2.7,2.0,3.4,3.0,2.2,3.4,2.625,2.1,3.4,2.8,1352.57,1377.98
