Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC3,24/01/04,Stirling,Albion Rvs,3.0,0.0,H,1.0,0.0,H,1.4,4.33,5.5,1.43,4.1,5.45,1.45,3.7,4.6,1.44,4.0,5.5,,,,1.4,4.2,5.5,1.44,4.0,5.5,1148.41,1067.07
SC3,24/01/04,Stranraer,Elgin,6.0,0.0,H,1.0,0.0,H,1.33,4.5,6.5,1.35,4.5,6.0,1.35,4.0,5.5,1.29,5.0,7.0,,,,1.36,4.0,6.5,1.3,5.0,6.5,1141.91,876.28
SC3,31/01/04,Montrose,Stranraer,1.0,4.0,A,1.0,3.0,A,3.75,3.6,1.727,3.45,3.55,1.8,3.0,3.3,1.85,3.2,3.5,1.909,,,,3.3,3.6,1.8,3.3,3.6,1.83,1016.09,1144.63
SC3,07/02/04,Albion Rvs,Montrose,3.0,0.0,H,1.0,0.0,H,2.375,3.5,2.375,2.38,3.5,2.38,2.3,3.1,2.3,2.5,3.5,2.25,,,,2.37,3.4,2.37,2.37,3.5,2.37,1060.56,1004.61
SC3,07/02/04,Cowdenbeath,Queens Park,5.0,1.0,H,2.0,1.0,H,1.8,3.5,3.5,1.83,3.5,3.4,1.9,3.2,2.9,1.8,3.5,3.5,,,,1.85,3.5,3.2,1.9,3.6,3.1,1075.24,971.3
SC3,07/02/04,Elgin,Gretna,1.0,1.0,D,0.0,1.0,A,6.0,3.75,1.444,6.0,3.75,1.45,4.2,3.7,1.5,5.0,3.75,1.533,,,,5.0,3.6,1.53,6.0,3.75,1.44,873.56,1118.81
SC3,07/02/04,Stirling,Peterhead,0.0,2.0,A,0.0,1.0,A,1.727,3.6,3.75,1.72,3.6,3.75,1.8,3.3,3.2,1.727,3.5,3.75,,,,1.66,3.5,4.0,1.8,3.6,3.4,1154.92,1119.4
SC3,07/02/04,Stranraer,East Stirling,7.0,1.0,H,2.0,0.0,H,1.143,6.0,12.0,1.14,6.0,12.0,1.15,4.7,9.0,1.125,6.0,15.0,,,,1.14,6.0,11.0,1.12,6.5,12.0,1156.11,769.09
SC3,14/02/04,East Stirling,Cowdenbeath,0.0,1.0,A,0.0,0.0,D,7.0,3.75,1.4,6.0,4.0,1.4,5.5,4.0,1.35,5.5,4.333,1.4,,,,6.0,4.33,1.36,6.5,5.0,1.3,767.66,1081.14
SC3,14/02/04,Gretna,Albion Rvs,3.0,0.0,H,3.0,0.0,H,1.533,3.75,4.75,1.55,3.75,4.65,1.55,3.4,4.3,1.5,4.0,5.0,,,,1.57,3.6,4.5,1.57,4.0,4.2,1113.87,1067.8
