country,season,file,round,round_start,history_mode,matches,correct,accuracy,logloss,brier,rps
England,1999-00,E0,37,2000-05-06,5season,11,5,0.45454545454545453,0.9725644360670949,0.6141059220906642,0.14772195265580348
England,1999-00,E0,38,2000-05-14,5season,10,3,0.3,1.024458098515803,0.6145392796795417,0.24611631475775883
England,1999-00,E1,1,1999-08-07,5season,12,3,0.25,1.1156691355993726,0.6929335793883097,0.19718387898431
England,1999-00,E1,2,1999-08-13,5season,11,6,0.5454545454545454,1.011183610718138,0.6160247281359509,0.20878435051975355
England,1999-00,E1,3,1999-08-20,5season,12,6,0.5,1.0558142729421387,0.6265416275652772,0.21912249978686996
England,1999-00,E1,4,1999-08-27,5season,12,4,0.3333333333333333,1.126560522604209,0.6898794130111371,0.2507339410392448
England,1999-00,E1,5,1999-08-30,5season,9,5,0.5555555555555556,0.9226384826758631,0.5448842711447437,0.15992392523033988
England,1999-00,E1,6,1999-09-03,5season,10,7,0.7,0.9455807701918454,0.5537048639227422,0.1936912379616807
England,1999-00,E1,7,1999-09-10,5season,11,7,0.6363636363636364,0.9250273794593741,0.5485449963071644,0.1750878858283045
England,1999-00,E1,8,1999-09-18,5season,13,6,0.46153846153846156,1.0073551919173738,0.6038925882773836,0.1950552265417548
England,1999-00,E1,9,1999-09-25,5season,13,6,0.46153846153846156,0.9971177136548968,0.5942903090509107,0.19027314699529585
England,1999-00,E1,10,1999-10-01,5season,13,9,0.6923076923076923,1.0618922907172783,0.6225716141449692,0.2721550607461893
England,1999-00,E1,11,1999-10-08,5season,11,5,0.45454545454545453,1.0507839022934073,0.6349505799272159,0.21827825114202187
England,1999-00,E1,12,1999-10-16,5season,12,2,0.16666666666666666,1.1908973182248612,0.738101357814133,0.20144434659766938
England,1999-00,E1,13,1999-10-19,5season,11,6,0.5454545454545454,1.0428859673970747,0.6276504769288733,0.21462793210354533
England,1999-00,E1,14,1999-10-23,5season,13,6,0.46153846153846156,1.0728365868817806,0.6534784689702489,0.20289963821143597
England,1999-00,E1,15,1999-10-26,5season,11,6,0.5454545454545454,0.9945160947800592,0.5968252684440503,0.1792141962253811
England,1999-00,E1,16,1999-10-30,5season,13,9,0.6923076923076923,0.8434778691995295,0.4871380245617678,0.15363859938652852
England,1999-00,E1,17,1999-11-05,5season,12,7,0.5833333333333334,0.9854929901855306,0.5814845460912844,0.2149270850305455
England,1999-00,E1,18,1999-11-12,5season,12,3,0.25,1.1185156354505137,0.6907982257832713,0.19613766972260968
England,1999-00,E1,19,1999-11-20,5season,12,8,0.6666666666666666,0.942015650978527,0.5643656197638073,0.1879720360917285
England,1999-00,E1,20,1999-11-23,5season,12,7,0.5833333333333334,1.0055871402798988,0.5920806633580955,0.22022461695575904
England,1999-00,E1,21,1999-11-26,5season,15,9,0.6,1.0585459629430745,0.6489087843782694,0.21186625184131314
England,1999-00,E1,22,1999-12-04,5season,12,4,0.3333333333333333,1.1737239061362665,0.7034400551718026,0.22087345983822573
England,1999-00,E1,23,1999-12-17,5season,11,6,0.5454545454545454,0.9679122594983152,0.5699067936695155,0.18581441068825263
England,1999-00,E1,24,1999-12-26,5season,13,8,0.6153846153846154,0.9860596442487363,0.5802914451066317,0.20021597891755036
England,1999-00,E1,25,1999-12-28,5season,11,8,0.7272727272727273,0.9132996680959476,0.5398701424500647,0.1907575674485374
England,1999-00,E1,26,2000-01-03,5season,13,7,0.5384615384615384,0.9970808172948883,0.5913782018343537,0.2057527097950585
England,1999-00,E1,27,2000-01-15,5season,13,9,0.6923076923076923,0.9103305923645866,0.5369637462949418,0.19547095591029431
England,1999-00,E1,28,2000-01-21,5season,12,6,0.5,1.0822043015670721,0.6549938965426975,0.23329201291401022
England,1999-00,E1,29,2000-01-29,5season,9,1,0.1111111111111111,1.2029319576299884,0.755313496341723,0.19167527932111678
England,1999-00,E1,30,2000-02-05,5season,13,8,0.6153846153846154,0.987036778466192,0.5790436814837115,0.21651318057922472
England,1999-00,E1,31,2000-02-11,5season,12,7,0.5833333333333334,0.9532689704560647,0.5688358269211974,0.17188600688412556
England,1999-00,E1,32,2000-02-16,5season,11,8,0.7272727272727273,0.8373409972118757,0.4847371613386354,0.1632149204280203
England,1999-00,E1,33,2000-02-26,5season,14,5,0.35714285714285715,1.0482302897486824,0.6389779715564352,0.17024541459805748
England,1999-00,E1,34,2000-03-03,5season,11,7,0.6363636363636364,1.0617906982939103,0.6099568890492023,0.22581500130345128
England,1999-00,E1,35,2000-03-07,5season,12,6,0.5,1.077717393889545,0.6467502015234677,0.2108510014541185
