Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP1,20/10/01,Sociedad,Osasuna,2,1,H,0,1,A,1.87,3.25,3.5,2.0,2.9,3.4,1.83,3.4,3.5,,,,1.91,3.2,3.5,,,,1590.5,1642.14
SP1,21/10/01,Espanol,Tenerife,2,0,H,2,0,H,1.8,3.25,4.0,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.73,3.2,4.33,1.8,3.3,3.75,1648.17,1616.97
SP1,21/10/01,Mallorca,Vallecano,3,0,H,1,0,H,1.7,3.35,4.35,1.65,3.3,4.4,1.61,3.25,5.0,,,,1.67,3.25,4.5,1.66,3.3,4.5,1721.95,1561.67
SP1,21/10/01,Real Madrid,Celta,1,1,D,1,1,D,1.6,3.35,5.1,1.6,3.4,4.6,1.61,3.25,5.0,,,,1.62,3.25,5.0,1.61,3.3,5.0,1780.58,1770.73
SP1,21/10/01,Valencia,Zaragoza,2,0,H,1,0,H,1.47,3.8,5.75,1.45,3.8,5.4,1.44,3.6,6.5,,,,1.44,3.6,6.5,1.44,3.5,7.0,1760.02,1654.02
SP1,21/10/01,Valladolid,Alaves,1,3,A,0,2,A,2.3,3.05,2.85,2.1,2.9,3.2,2.1,3.2,3.0,,,,2.25,3.2,2.75,2.25,3.2,2.75,1654.52,1670.36
SP1,27/10/01,Barcelona,Betis,3,0,H,1,0,H,1.5,3.6,6.0,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.5,6.0,1.44,3.6,6.5,1.53,3.4,5.5,1767.55,1693.08
SP1,27/10/01,Osasuna,Mallorca,4,0,H,2,0,H,2.25,3.1,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.2,3.25,2.75,,,,1631.37,1726.52
SP1,27/10/01,Vallecano,La Coruna,2,1,H,0,0,D,3.6,3.25,1.9,3.5,3.1,1.9,4.33,3.2,1.73,3.9,3.2,1.8,3.5,3.2,1.91,3.6,3.3,1.83,1557.1,1816.18
SP1,27/10/01,Tenerife,Sociedad,0,1,A,0,1,A,1.9,3.2,3.6,1.9,3.0,3.6,1.73,3.2,4.33,1.91,3.2,3.5,1.91,3.2,3.5,1.9,3.25,3.5,1608.98,1601.27
SP1,27/10/01,Villarreal,Real Madrid,2,3,A,1,0,H,2.9,3.2,2.2,3.0,2.9,2.2,2.75,3.2,2.25,2.75,3.2,2.25,2.75,3.2,2.25,2.8,3.2,2.2,1693.19,1776.75
SP1,28/10/01,Alaves,Las Palmas,1,0,H,1,0,H,1.65,3.3,4.6,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.4,4.33,1.67,3.4,4.33,1.66,3.3,4.5,1685.83,1633.3
SP1,28/10/01,Ath Bilbao,Espanol,1,1,D,1,0,H,1.9,3.2,3.5,1.75,3.2,4.0,1.91,3.2,3.5,1.91,3.25,3.5,1.91,3.2,3.5,1.72,3.5,3.8,1637.46,1656.16
SP1,28/10/01,Celta,Valladolid,1,1,D,0,0,D,1.41,3.7,7.0,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.0,1.4,3.75,7.0,1.4,3.75,7.0,1774.56,1639.05
SP1,28/10/01,Sevilla,Valencia,1,1,D,0,1,A,2.75,3.1,2.3,2.7,2.9,2.4,2.8,2.87,2.37,2.7,3.1,2.3,2.6,3.0,2.5,2.75,3.1,2.3,1658.26,1765.87
SP1,28/10/01,Zaragoza,Malaga,0,2,A,0,1,A,1.9,3.2,3.6,2.0,3.0,3.3,1.8,3.2,4.0,1.91,3.25,3.4,1.91,3.2,3.5,1.9,3.25,3.4,1648.17,1686.2
SP1,03/11/01,Ath Bilbao,Alaves,2,1,H,2,0,H,2.3,3.0,2.87,2.2,2.9,3.0,2.25,3.2,2.75,2.4,3.0,2.7,2.38,3.0,2.75,2.2,3.1,2.87,1634.59,1693.17
SP1,04/11/01,Betis,Zaragoza,0,1,A,0,0,D,1.7,3.3,4.4,1.75,3.2,4.0,1.73,3.2,4.33,1.67,3.25,4.8,1.67,3.25,4.5,1.61,3.3,5.0,1686.38,1633.46
SP1,04/11/01,La Coruna,Osasuna,5,1,H,4,1,H,1.33,4.25,7.7,1.35,4.0,7.0,1.3,4.0,9.0,1.33,4.2,8.0,1.3,4.33,8.0,,,,1798.33,1643.7
SP1,04/11/01,Espanol,Sociedad,1,2,A,1,1,D,1.73,3.3,4.25,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.2,4.0,1.8,3.25,3.75,1.83,3.4,3.5,1659.03,1617.53
SP1,04/11/01,Las Palmas,Celta,4,2,H,3,1,H,2.72,2.95,2.45,2.5,3.0,2.5,2.6,3.2,2.37,2.7,3.1,2.38,2.8,3.0,2.3,2.7,3.0,2.37,1625.96,1767.18
SP1,04/11/01,Malaga,Sevilla,1,3,A,1,1,D,1.95,3.1,3.55,1.9,3.0,3.6,1.8,3.25,3.75,1.95,3.1,3.5,1.91,3.2,3.5,1.83,3.2,3.75,1700.91,1658.53
SP1,04/11/01,Mallorca,Tenerife,2,0,H,1,0,H,1.77,3.2,4.2,1.75,3.2,4.0,1.73,3.2,4.33,1.73,3.2,4.33,1.8,3.25,3.75,1.72,3.2,4.33,1714.19,1592.72
SP1,04/11/01,Real Madrid,Barcelona,2,0,H,1,0,H,2.0,3.15,3.35,1.9,3.0,3.6,2.0,3.2,3.2,2.0,3.2,3.3,2.0,3.2,3.2,2.0,3.1,3.3,1789.84,1774.25
SP1,04/11/01,Valencia,Vallecano,2,1,H,1,1,D,1.3,4.5,8.0,1.35,4.0,7.0,1.25,4.5,10.0,1.3,4.33,8.5,1.3,4.33,8.0,1.28,4.5,8.0,1765.6,1574.95
SP1,04/11/01,Valladolid,Villarreal,1,0,H,1,0,H,2.15,3.2,3.0,2.0,3.0,3.3,2.2,3.2,2.8,2.2,3.1,2.9,2.25,3.2,2.75,2.2,3.25,2.75,1646.43,1680.1
SP1,10/11/01,Sevilla,Betis,0,0,D,0,0,D,2.3,3.0,2.9,2.1,3.0,3.1,2.2,3.0,3.0,2.2,3.1,2.9,2.25,3.0,2.88,2.2,3.0,3.0,1675.88,1668.71
SP1,11/11/01,Alaves,Espanol,2,1,H,1,1,D,1.71,3.25,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.62,3.3,5.0,1.67,3.25,4.5,1.61,3.3,5.0,1682.15,1641.7
SP1,11/11/01,Barcelona,Valladolid,4,0,H,2,0,H,1.25,4.5,8.5,1.35,4.0,7.0,1.33,4.0,8.0,1.33,4.0,8.0,1.29,4.5,8.0,1.33,4.2,7.5,1765.76,1656.57
SP1,11/11/01,Celta,Ath Bilbao,2,3,A,1,0,H,1.66,3.3,4.75,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.3,5.0,1.67,3.4,4.33,1.66,3.3,4.5,1753.2,1645.61
SP1,11/11/01,Osasuna,Valencia,0,0,D,0,0,D,2.8,3.0,2.35,3.0,2.9,2.2,3.0,2.87,2.25,2.8,3.0,2.3,2.88,2.8,2.38,,,,1639.01,1769.55
SP1,11/11/01,Sociedad,Mallorca,1,2,A,0,0,D,2.05,3.1,3.3,2.0,2.9,3.4,2.0,3.2,3.2,2.1,3.2,3.0,2.0,3.2,3.2,2.1,3.1,3.1,1634.86,1719.65
SP1,11/11/01,Vallecano,Malaga,3,0,H,2,0,H,2.25,3.1,2.9,2.2,2.9,3.0,2.25,3.2,2.75,2.25,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75,1571.0,1683.56
SP1,11/11/01,Tenerife,La Coruna,3,1,H,1,1,D,3.45,3.15,1.95,3.3,3.0,2.0,3.2,3.2,2.0,3.4,3.25,1.91,3.2,3.2,2.0,3.2,3.2,2.0,1587.26,1803.02
SP1,11/11/01,Villarreal,Las Palmas,2,0,H,1,0,H,1.75,3.2,4.3,1.8,3.1,3.8,1.8,3.2,4.0,1.73,3.25,4.2,1.8,3.2,4.0,1.8,3.3,3.75,1669.96,1639.94
SP1,11/11/01,Zaragoza,Real Madrid,2,1,H,1,0,H,3.6,3.2,1.9,3.3,3.0,2.0,3.5,3.2,1.91,3.3,3.1,2.0,3.2,3.2,2.0,3.4,3.25,1.9,1651.13,1798.33
SP1,17/11/01,La Coruna,Sociedad,3,1,H,1,1,D,1.31,4.25,8.5,1.35,4.0,7.0,1.36,3.75,8.0,1.33,4.0,8.5,1.3,4.33,8.0,1.3,4.5,7.5,1786.5,1621.81
SP1,17/11/01,Las Palmas,Barcelona,0,0,D,0,0,D,3.3,3.2,2.0,3.2,2.9,2.1,3.2,3.0,2.1,3.3,3.1,2.0,3.2,3.2,2.0,2.8,3.1,2.25,1631.91,1771.53
SP1,17/11/01,Real Madrid,Sevilla,2,1,H,1,0,H,1.3,4.5,8.0,1.4,3.7,6.4,1.33,4.0,8.0,1.3,4.33,8.0,1.3,4.33,8.0,1.33,4.0,8.0,1784.14,1672.14
SP1,18/11/01,Alaves,Celta,1,0,H,1,0,H,2.0,3.2,3.3,2.0,2.9,3.4,2.0,3.2,3.2,2.0,3.1,3.3,2.1,3.0,3.2,2.0,3.1,3.3,1689.86,1734.01
