Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I1,18/11/01,Verona,Chievo,3,2,H,1,2,A,2.55,2.8,2.75,2.1,2.9,3.2,,,,2.4,2.88,2.75,2.5,2.8,2.75,2.5,2.75,2.75,1667.95,1718.93
I1,24/11/01,Lazio,Juventus,1,0,H,0,0,D,,,,2.2,2.9,3.0,,,,2.5,2.75,3.0,2.38,2.8,2.88,2.4,2.75,2.9,1832.47,1862.94
I1,25/11/01,Bologna,Roma,1,3,A,1,3,A,2.85,2.9,2.4,2.6,2.8,2.6,,,,2.88,2.88,2.38,2.9,2.88,2.3,2.9,2.62,2.5,1693.71,1838.0
I1,25/11/01,Brescia,Udinese,2,0,H,2,0,H,2.1,2.95,3.3,2.1,2.9,3.2,,,,2.1,3.0,3.25,2.1,3.0,3.2,2.1,3.0,3.2,1704.75,1642.71
I1,25/11/01,Chievo,Perugia,2,0,H,1,0,H,1.68,3.1,5.1,1.8,3.1,3.8,,,,1.7,3.2,4.6,1.67,3.1,5.0,1.66,3.1,5.0,1708.18,1648.84
I1,25/11/01,Inter,Fiorentina,2,0,H,1,0,H,1.34,4.0,8.0,1.45,3.8,5.4,,,,1.4,3.75,7.0,1.36,4.0,7.0,1.33,4.0,8.0,1773.19,1652.97
I1,25/11/01,Parma,Milan,0,1,A,0,1,A,2.5,2.85,2.75,2.3,2.8,2.9,,,,2.5,2.9,2.7,2.5,2.8,2.7,2.5,2.75,2.75,1737.33,1749.08
I1,25/11/01,Piacenza,Atalanta,1,2,A,1,0,H,2.15,2.9,3.3,2.1,2.8,3.3,,,,2.2,3.0,3.0,2.2,2.8,3.2,2.2,2.7,3.3,1634.84,1650.57
I1,25/11/01,Torino,Verona,5,1,H,0,1,A,2.15,2.9,3.3,2.1,2.8,3.3,,,,2.1,3.0,3.25,2.1,2.9,3.25,2.2,2.75,3.25,1689.44,1678.7
I1,25/11/01,Venezia,Lecce,1,1,D,0,0,D,2.15,2.95,3.2,2.3,2.7,3.0,,,,2.2,2.88,3.2,2.25,2.88,3.0,2.25,2.75,3.2,1600.41,1645.96
I1,01/12/01,Juventus,Perugia,2,0,H,0,0,D,1.27,4.6,9.0,1.3,4.2,8.0,1.3,4.0,10.0,1.3,4.0,9.5,1.29,4.33,8.5,1.25,4.5,10.0,1852.91,1641.7
I1,02/12/01,Atalanta,Inter,2,4,A,2,1,H,3.2,2.9,2.17,3.0,2.9,2.2,3.2,2.8,2.2,3.0,2.9,2.25,3.3,2.88,2.1,3.25,2.75,2.2,1666.04,1778.68
