Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
P1,15/12/01,Benfica,Sp Lisbon,2,2,D,1,0,H,2.25,3.15,2.8,2.3,2.9,2.8,2.2,3.1,2.9,2.2,3.0,3.0,2.2,3.1,2.87,1558.83,1609.41
P1,15/12/01,Salgueiros,Maritimo,2,1,H,0,1,A,2.3,3.1,2.75,2.3,2.9,2.5,2.2,3.2,2.8,2.38,3.1,2.6,2.2,3.2,2.7,1387.72,1455.92
P1,15/12/01,Leiria,Gil Vicente,2,1,H,1,0,H,1.7,3.4,4.2,1.65,3.1,4.0,1.6,3.3,5.0,1.67,3.25,4.5,1.6,3.5,4.4,1538.97,1443.15
P1,15/12/01,Varzim,Boavista,0,2,A,0,1,A,4.05,3.3,1.75,3.6,3.1,1.75,4.2,3.3,1.7,4.33,3.2,1.73,4.2,3.25,1.7,1351.77,1621.28
P1,15/12/01,Setubal,Pacos Ferreira,1,3,A,0,1,A,1.95,3.2,3.4,2.1,2.9,2.9,2.0,3.1,3.3,1.91,3.2,3.5,2.0,3.25,3.0,1397.79,1452.78
P1,23/12/01,Boavista,Benfica,1,0,H,1,0,H,2.05,3.1,3.25,2.0,2.9,3.4,2.1,3.1,3.1,2.1,2.9,3.25,2.0,3.0,3.4,1628.12,1557.06
P1,22/12/01,Maritimo,Varzim,1,1,D,0,1,A,1.31,4.25,8.0,1.35,3.8,6.2,1.33,4.2,7.5,1.36,4.0,7.0,1.3,4.25,7.5,1444.56,1344.93
P1,22/12/01,Pacos Ferreira,Beira Mar,0,0,D,0,0,D,1.8,3.25,3.85,1.75,3.1,3.6,1.8,3.3,3.75,1.8,3.25,3.75,1.75,3.5,3.6,1466.89,1432.13
P1,22/12/01,Salgueiros,Gil Vicente,3,0,H,0,0,D,1.95,3.2,3.35,2.1,2.9,2.9,1.95,3.25,3.25,1.91,3.2,3.5,1.9,3.3,3.3,1399.08,1437.03
P1,22/12/01,Santa Clara,Porto,2,1,H,1,0,H,3.65,3.25,1.85,4.0,3.3,1.7,3.4,3.25,1.91,3.75,3.2,1.83,3.75,3.5,1.75,1409.58,1656.0
P1,22/12/01,Sp Braga,Belenenses,2,3,A,2,0,H,2.0,3.15,3.3,1.75,3.2,4.0,1.95,3.2,3.3,2.0,3.2,3.2,1.9,3.2,3.4,1492.13,1482.68
P1,22/12/01,Farense,Leiria,0,1,A,0,0,D,2.4,3.0,2.7,2.3,3.0,2.7,2.3,3.2,2.62,2.3,3.2,2.62,2.3,3.2,2.6,1375.24,1545.09
P1,22/12/01,Sp Lisbon,Setubal,1,0,H,0,0,D,1.22,5.0,9.75,1.2,5.0,10.0,1.22,4.75,10.0,1.25,4.5,10.0,1.2,5.0,10.0,1611.18,1383.68
