Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
F1,03/11/01,Marseille,Rennes,2,1,H,1,0,H,1.87,3.1,3.85,1.85,3.0,3.8,1.8,3.2,4.0,1.9,3.1,3.75,1.83,3.0,4.0,1.9,2.87,4.0,1640.13,1647.77
F1,03/11/01,Nantes,Monaco,2,1,H,2,0,H,2.05,3.05,3.35,2.2,2.8,3.1,2.25,3.2,2.75,2.1,3.1,3.1,2.1,3.0,3.2,2.0,2.87,3.6,1709.09,1667.85
F1,03/11/01,Sedan,Montpellier,2,0,H,1,0,H,1.92,3.1,3.7,1.8,3.0,4.0,2.1,3.0,3.2,1.91,3.0,3.8,1.91,3.0,3.75,1.8,3.1,4.0,1640.8,1621.07
F1,04/11/01,Lens,Bordeaux,0,0,D,0,0,D,2.0,3.0,3.55,2.2,2.8,3.1,2.1,3.0,3.2,2.0,3.1,3.4,1.91,3.1,3.6,2.0,3.0,3.4,1735.53,1765.34
F1,04/11/01,Lyon,Lille,4,2,H,2,2,D,1.86,3.05,3.9,1.9,3.0,3.6,1.91,3.0,3.75,1.85,3.1,4.0,1.83,3.0,4.0,1.83,2.87,4.33,1801.51,1808.22
F1,04/11/01,Metz,Auxerre,2,0,H,1,0,H,2.65,2.9,2.55,2.6,2.8,2.6,2.6,3.2,2.37,2.62,3.0,2.5,2.5,2.88,2.62,2.6,2.8,2.6,1631.93,1683.7
F1,04/11/01,Troyes,Paris SG,1,0,H,0,0,D,2.5,2.9,2.7,2.5,2.8,2.7,2.75,3.0,2.37,2.5,3.0,2.6,2.4,2.88,2.75,2.5,2.9,2.62,1672.68,1699.69
F1,16/11/01,Monaco,Marseille,1,1,D,0,0,D,1.82,3.15,4.0,1.75,3.1,4.0,,,,1.9,3.0,3.75,,,,1.8,3.0,4.2,1660.17,1649.38
F1,17/11/01,Auxerre,Lille,2,1,H,1,0,H,2.2,3.1,2.95,2.1,2.8,3.3,2.1,3.0,3.2,2.2,3.0,3.0,2.25,2.88,3.0,2.1,2.87,3.3,1672.92,1799.0
F1,17/11/01,Bordeaux,Troyes,2,3,A,1,1,D,1.7,3.25,4.55,1.7,3.2,4.2,1.61,3.25,5.0,1.75,3.1,4.33,1.67,3.25,4.5,1.72,3.1,4.5,1767.83,1682.59
F1,17/11/01,Lens,Sedan,1,0,H,1,0,H,1.5,3.5,6.1,1.55,3.4,5.0,1.44,3.6,6.5,1.44,3.6,6.5,1.4,3.6,7.5,1.5,3.3,6.5,1733.04,1649.16
F1,17/11/01,Lorient,Lyon,0,3,A,0,3,A,2.8,3.0,2.35,2.8,2.9,2.3,2.75,3.2,2.25,2.7,3.0,2.4,2.75,2.88,2.4,2.8,2.87,2.37,1644.53,1810.73
F1,17/11/01,Montpellier,Bastia,2,1,H,1,0,H,2.15,3.0,3.15,2.0,3.0,3.3,2.25,3.2,2.75,2.1,3.0,3.2,2.2,2.88,3.1,2.1,2.87,3.3,1612.71,1628.12
F1,17/11/01,Paris SG,Guingamp,1,1,D,0,0,D,1.52,3.4,5.75,1.5,3.5,5.4,1.5,3.25,6.5,1.5,3.4,6.0,1.5,3.3,6.5,1.53,3.25,6.0,1689.78,1640.24
F1,17/11/01,Rennes,Nantes,2,0,H,0,0,D,2.35,3.1,2.7,2.2,2.9,3.0,2.4,3.25,2.5,2.38,3.1,2.62,2.3,3.1,2.7,2.3,3.1,2.75,1638.52,1716.77
F1,17/11/01,Sochaux,Metz,2,0,H,1,0,H,1.75,3.2,4.3,1.75,3.1,4.0,1.73,3.4,4.0,1.67,3.25,4.6,1.73,3.2,4.33,1.66,3.3,4.5,1711.35,1642.71
F1,24/11/01,Bastia,Bordeaux,1,2,A,0,1,A,2.42,2.95,2.75,2.4,2.8,2.8,2.5,3.2,2.5,2.4,2.88,2.8,,,,2.37,2.9,2.8,1618.6,1749.23
F1,24/11/01,Guingamp,Montpellier,2,2,D,1,1,D,1.8,3.1,4.2,1.8,3.0,4.0,1.73,3.2,4.33,1.8,3.0,4.2,,,,1.8,3.0,4.2,1645.31,1622.23
F1,24/11/01,Marseille,Sochaux,4,2,H,2,1,H,1.96,3.0,3.65,1.9,2.9,3.8,2.25,2.87,3.0,1.9,3.0,3.8,,,,1.9,3.0,3.75,1653.24,1718.22
F1,24/11/01,Metz,Monaco,1,0,H,0,0,D,2.28,2.95,2.95,2.3,2.8,2.9,2.25,3.2,2.75,2.25,3.0,2.88,,,,2.1,3.0,3.2,1635.84,1656.31
